KEY_WORD (1, 1): Integer
OPERATION_LOW (9, 16): +
CONSTANT (9, 17): 2
OPERATION_LOW (9, 18): -
IDENTIFIER (9, 19): a
DELIMITER (9, 20): )
DELIMITER (9, 21): ;
IDENTIFIER (9, 22): e
ASGN (9, 23): :=
DELIMITER (9, 25): (
IDENTIFIER (9, 26): a
OPERATION_LOW (9, 27): +
DELIMITER (9, 28): (
IDENTIFIER (9, 29): a
OPERATION_LOW (9, 30): -
IDENTIFIER (9, 31): b
DELIMITER (9, 32): )
DELIMITER (9, 33): )
OPERATION_HIGH (9, 34): *
DELIMITER (9, 35): (
IDENTIFIER (9, 36): b
OPERATION_LOW (9, 37): +
CONSTANT (9, 38): 2
OPERATION_LOW (9, 39): -
IDENTIFIER (9, 40): a
DELIMITER (9, 41): )
DELIMITER (9, 42): ;
IDENTIFIER (9, 43): e
ASGN (9, 44): :=
DELIMITER (9, 46): (
IDENTIFIER (9, 47): a
OPERATION_LOW (9, 48): +
DELIMITER (9, 49): (
IDENTIFIER (9, 50): a
OPERATION_LOW (9, 51): -
IDENTIFIER (9, 52): b
DELIMITER (9, 53): )
DELIMITER (9, 54): )
OPERATION_HIGH (9, 55): *
DELIMITER (9, 56): (
IDENTIFIER (9, 57): b
OPERATION_LOW (9, 58): +
CONSTANT (9, 59): 2
OPERATION_LOW (9, 60): -
IDENTIFIER (9, 61): a
DELIMITER (9, 62): )
DELIMITER (9, 63): ;
IDENTIFIER (9, 64): e
ASGN (9, 65): :=
DELIMITER (9, 67): (
IDENTIFIER (9, 68): a
OPERATION_LOW (9, 69): +
DELIMITER (9, 70): (
IDENTIFIER (9, 71): a
OPERATION_LOW (9, 72): -
IDENTIFIER (9, 73): b
DELIMITER (9, 74): )
DELIMITER (9, 75): )
OPERATION_HIGH (9, 76): *
DELIMITER (9, 77): (
IDENTIFIER (9, 78): b
OPERATION_LOW (9, 79): +
CONSTANT (9, 80): 2
OPERATION_LOW (9, 81): -
IDENTIFIER (9, 82): a
DELIMITER (9, 83): )
DELIMITER (9, 84): ;
IDENTIFIER (9, 85): e
ASGN (9, 86): :=
DELIMITER (9, 88): (
IDENTIFIER (9, 89): a
OPERATION_LOW (9, 90): +
DELIMITER (9, 91): (
IDENTIFIER (9, 92): a
OPERATION_LOW (9, 93): -
IDENTIFIER (9, 94): b
DELIMITER (9, 95): )
DELIMITER (9, 96): )
OPERATION_HIGH (9, 97): *
DELIMITER (9, 98): (
IDENTIFIER (9, 99): b
OPERATION_LOW (9, 100): +
CONSTANT (9, 101): 2
OPERATION_LOW (9, 102): -
IDENTIFIER (9, 103): a
DELIMITER (9, 104): )
DELIMITER (9, 105): ;
IDENTIFIER (9, 106): e
ASGN (9, 107): :=
DELIMITER (9, 109): (
IDENTIFIER (9, 110): a
OPERATION_LOW (9, 111): +
DELIMITER (9, 112): (
IDENTIFIER (9, 113): a
OPERATION_LOW (9, 114): -
IDENTIFIER (9, 115): b
DELIMITER (9, 116): )
DELIMITER (9, 117): )
OPERATION_HIGH (9, 118): *
DELIMITER (9, 119): (
IDENTIFIER (9, 120): b
OPERATION_LOW (9, 121): +
CONSTANT (9, 122): 2
OPERATION_LOW (9, 123): -
IDENTIFIER (9, 124): a
DELIMITER (9, 125): )
DELIMITER (9, 126): ;
IDENTIFIER (9, 127): e
ASGN (9, 128): :=
DELIMITER (9, 130): (
IDENTIFIER (9, 131): a
OPERATION_LOW (9, 132): +
DELIMITER (9, 133): (
IDENTIFIER (9, 134): a
OPERATION_LOW (9, 135): -
IDENTIFIER (9, 136): b
DELIMITER (9, 137): )
DELIMITER (9, 138): )
OPERATION_HIGH (9, 139): *
DELIMITER (9, 140): (
IDENTIFIER (9, 141): b
OPERATION_LOW (9, 142): +
CONSTANT (9, 143): 2
OPERATION_LOW (9, 144): -
IDENTIFIER (9, 145): a
DELIMITER (9, 146): )
DELIMITER (9, 147): ;
KEY_WORD (11, 1): End
